All calculations,GG_01,GG_02,PQ_Meas_GG01_11kV,PQ_Meas_GG02_11kV,PQ_Meas_RL01_11kV,PQ_Meas_RL02_11kV,PQ_Meas_WF_11kV,PQ_Meas_ESS_TR_11kV,PQ_Meas_LV_Load_11kV,PQ_Meas_WT1_33kV,PQ_Meas_WT2_33kV,PQ_Meas_WT3_33kV,GG_01
"b:tnow in s","s:xspeed in p.u.","s:xspeed in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:ut in p.u."
-0.045478,0.999798,0.999850,17.208458,17.077859,44.661126,0.000000,11.653471,-0.455177,0.823485,3.953939,3.927143,3.947999,1.009155
-0.044836,0.999796,0.999848,17.194673,17.106773,44.660938,0.000000,11.646935,-0.463965,0.823478,3.951567,3.924102,3.950831,1.009190
-0.044120,0.999794,0.999846,17.183190,17.129633,44.665768,0.000000,11.628405,-0.451878,0.823582,3.944229,3.915433,3.941568,1.009146
-0.043386,0.999792,0.999844,17.159850,17.136391,44.665931,0.000000,11.622054,-0.428761,0.823602,3.944683,3.917499,3.944400,1.009022
-0.042714,0.999790,0.999842,17.143589,17.151558,44.670108,0.000000,11.626359,-0.427718,0.823680,3.949388,3.923621,3.948104,1.009193
-0.041963,0.999788,0.999840,17.116149,17.160400,44.673188,0.000000,11.650106,-0.429771,0.823696,3.951222,3.923096,3.943624,1.009361
-0.041277,0.999786,0.999838,17.116767,17.177693,44.686193,0.000000,11.647976,-0.432297,0.823946,3.950163,3.922473,3.956526,1.009527
-0.040625,0.999784,0.999836,17.126961,17.182476,44.691626,0.000000,11.623790,-0.417494,0.824107,3.944321,3.917928,3.945645,1.009342
-0.039887,0.999782,0.999834,17.107821,17.172754,44.672663,0.000000,11.614459,-0.398638,0.823733,3.939486,3.914866,3.938612,1.009089
-0.039184,0.999780,0.999831,17.105260,17.161955,44.688711,0.000000,11.644882,-0.399359,0.824026,3.952097,3.929659,3.953973,1.009370
-0.038464,0.999779,0.999829,17.101343,17.155635,44.678147,0.000000,11.652281,-0.407314,0.823798,3.949860,3.928361,3.947301,1.009343
-0.037765,0.999777,0.999827,17.112167,17.151815,44.687037,0.000000,11.654690,-0.407686,0.823950,3.952970,3.931521,3.949193,1.009480
-0.037117,0.999775,0.999826,17.133410,17.133313,44.694557,0.000000,11.639554,-0.387579,0.824141,3.948045,3.928251,3.948231,1.009354
-0.036405,0.999773,0.999824,17.139257,17.111704,44.683022,0.000000,11.630162,-0.374181,0.823919,3.946013,3.932149,3.943745,1.009275
-0.035686,0.999771,0.999822,17.147808,17.090087,44.697622,0.000000,11.658707,-0.374814,0.824166,3.952078,3.939748,3.951670,1.009604
-0.035047,0.999769,0.999820,17.159781,17.073088,44.691383,0.000000,11.667278,-0.384726,0.824038,3.952248,3.940658,3.953002,1.009528
-0.034340,0.999767,0.999818,17.186281,17.063219,44.716019,0.000000,11.675202,-0.384176,0.824507,3.958988,3.947690,3.947395,1.009850
-0.033668,0.999765,0.999817,17.199583,17.030767,44.706845,0.000000,11.660501,-0.359615,0.824390,3.949453,3.942302,3.945873,1.009380
-0.032914,0.999762,0.999815,17.207907,17.018592,44.698789,0.000000,11.646785,-0.350276,0.824220,3.950824,3.945760,3.945676,1.009510
