All calculations,Vmesa_ESS_690V,ESS_GC,PQ_Meas_BCs_CurrentSource,ESS_GC,ESS_GC,BC_DCLinkSide,FC_DCLinkSide
"b:tnow in s","s:u in p.u.","m:Psum:busac in MW","s:p in p.u.","s:uDC in p.u.","s:iDC in p.u.","s:i0dc in p.u.","s:i0dc in p.u."
-0.015372,1.016921,-0.181107,0.055648,1.000000,-0.005080,0.020506,0.000238
-0.014677,1.016957,-0.190144,0.055287,1.000000,-0.002431,0.020438,0.000237
-0.013960,1.017620,-0.183413,0.051191,1.000000,-0.011899,0.020359,0.000237
-0.013274,1.014555,-0.203544,0.044294,1.000000,-0.015981,0.020287,0.000237
-0.012537,1.015249,-0.192319,0.039205,1.000000,-0.012767,0.020223,0.000237
-0.011837,1.015184,-0.190717,0.037477,1.000000,-0.006585,0.020166,0.000237
-0.011175,1.017027,-0.180145,0.037506,1.000000,-0.007546,0.020101,0.000237
-0.010468,1.015775,-0.198535,0.041394,1.000000,-0.014884,0.020028,0.000237
-0.009731,1.014775,-0.178608,0.044672,1.000000,-0.018333,0.019967,0.000237
-0.009034,1.016235,-0.160498,0.052628,1.000000,-0.010465,0.019916,0.000237
-0.008343,1.016772,-0.152660,0.053827,1.000000,-0.007010,0.019866,0.000237
-0.007680,1.017550,-0.153212,0.052700,1.000000,-0.009111,0.019804,0.000237
-0.007010,1.016682,-0.158476,0.047362,1.000000,-0.018227,0.019740,0.000237
-0.006270,1.014219,-0.172063,0.041280,1.000000,-0.019057,0.019684,0.000237
-0.005532,1.015642,-0.151095,0.036654,1.000000,-0.013885,0.019637,0.000237
-0.004864,1.016488,-0.146482,0.035968,1.000000,-0.008701,0.019591,0.000237
-0.004157,1.016346,-0.153564,0.036969,1.000000,-0.015006,0.019533,0.000237
-0.003401,1.015289,-0.152897,0.044056,1.000000,-0.019915,0.019476,0.000237
-0.002688,1.015392,-0.141495,0.047274,1.000000,-0.018998,0.019434,0.000238
-0.001963,1.016545,-0.119631,0.052043,1.000000,-0.011907,0.019396,0.000238
-0.001319,1.017383,-0.126159,0.051399,1.000000,-0.011723,0.019353,0.000238
-0.000641,1.017659,-0.109237,0.049897,1.000000,-0.018935,0.019300,0.000238
0.000112,1.014591,-0.140358,0.040595,0.999663,-0.022321,0.019254,0.000238
0.000816,1.014369,-0.142304,0.037623,0.998421,-0.018584,0.019216,0.000238
0.001536,1.015542,-0.137912,0.035159,0.997798,-0.010798,0.019185,0.000239
0.002253,1.015858,-0.154720,0.034542,0.997666,-0.011374,0.019143,0.000239
0.002959,1.015119,-0.178201,0.040881,0.996915,-0.017528,0.019100,0.000239
0.003706,1.013781,-0.186395,0.043864,0.995923,-0.015696,0.019072,0.000239
0.004418,1.015197,-0.195071,0.049455,0.995426,-0.008506,0.019057,0.000239
0.005119,1.015711,-0.210084,0.051067,0.995832,0.000937,0.019045,0.000240
0.005760,1.017121,-0.216902,0.051078,0.996356,-0.003454,0.019027,0.000240
0.006502,1.014677,-0.248444,0.042944,0.996209,-0.009532,0.019021,0.000240
0.007210,1.013890,-0.255919,0.038861,0.995991,-0.008008,0.019034,0.000241
0.007944,1.014453,-0.262056,0.036099,0.996260,-0.001154,0.019065,0.000242
0.008661,1.015738,-0.263351,0.033534,0.997263,0.003608,0.019100,0.000242
0.009333,1.016225,-0.268216,0.037897,0.997826,-0.005810,0.019135,0.000243
0.010058,1.014743,-0.251178,0.042151,0.997707,-0.010136,0.019191,0.000243
0.010759,1.014690,-0.251234,0.048031,0.997538,-0.006829,0.019267,0.000244
0.011466,1.016914,-0.211396,0.052792,0.997862,0.000397,0.019353,0.000245
0.012138,1.017037,-0.224592,0.053879,0.998690,0.001167,0.019437,0.000246
0.012840,1.017279,-0.214677,0.047681,0.998759,-0.009492,0.019520,0.000247
0.013558,1.014264,-0.220199,0.042308,0.998248,-0.012904,0.019625,0.000249
0.014314,1.015356,-0.209798,0.036948,0.997866,-0.009606,0.019743,0.000250
0.015014,1.014605,-0.222306,0.036918,0.998121,-0.002739,0.019858,0.000251
0.015663,1.016827,-0.199130,0.036849,0.998519,-0.007385,0.019965,0.000252
0.016341,1.015298,-0.212523,0.042971,0.998169,-0.014191,0.020077,0.000253
0.017107,1.014238,-0.206393,0.046536,0.997461,-0.014424,0.020208,0.000255
0.017831,1.015825,-0.188871,0.053845,0.997124,-0.006782,0.020346,0.000256
0.018531,1.016526,-0.197836,0.055764,0.997580,-0.001446,0.020474,0.000258
0.019240,1.016958,-0.189606,0.053465,0.997798,-0.008157,0.020585,0.000259
0.019913,1.014813,-0.214355,0.046372,0.997314,-0.014148,0.020706,0.000260
0.020666,1.014368,-0.214777,0.041604,0.996793,-0.011592,0.020840,0.000262
0.021412,1.013694,-0.234392,0.039520,0.996795,-0.004836,0.020979,0.000264
0.022028,1.016763,-0.210198,0.038082,0.997462,-0.002524,0.021101,0.000265
0.022740,1.015714,-0.225961,0.042491,0.997624,-0.010294,0.021219,0.000266
0.023486,1.014326,-0.221353,0.046532,0.997169,-0.013418,0.021354,0.000268
0.024181,1.015603,-0.209637,0.055271,0.996872,-0.008539,0.021495,0.000270
0.024880,1.015851,-0.211262,0.057529,0.997184,-0.000611,0.021631,0.000271
0.025624,1.016535,-0.219176,0.058449,0.997909,-0.002412,0.021752,0.000273
0.026268,1.016616,-0.209978,0.051744,0.997882,-0.011522,0.021872,0.000274
0.026998,1.014258,-0.217865,0.048118,0.997412,-0.012744,0.022006,0.000276
0.027723,1.014421,-0.219508,0.041847,0.997203,-0.008038,0.022149,0.000278
0.028434,1.016311,-0.202077,0.040451,0.997703,-0.001290,0.022285,0.000279
0.029079,1.016516,-0.216372,0.041986,0.998192,-0.007579,0.022401,0.000281
0.029820,1.014833,-0.219318,0.047725,0.997913,-0.014455,0.022524,0.000282
0.030532,1.014374,-0.206052,0.055163,0.997379,-0.012623,0.022665,0.000284
0.031238,1.016199,-0.185656,0.059320,0.997225,-0.006918,0.022797,0.000286
0.031922,1.016611,-0.192574,0.062234,0.997815,-0.001418,0.022920,0.000287
0.032557,1.017460,-0.186931,0.061308,0.998092,-0.007736,0.023028,0.000289
0.033285,1.014716,-0.204614,0.051125,0.997636,-0.014278,0.023146,0.000291
0.034040,1.014082,-0.209787,0.045888,0.997146,-0.012178,0.023277,0.000292
0.034733,1.015128,-0.198552,0.044520,0.997157,-0.006097,0.023405,0.000294
0.035438,1.015946,-0.204846,0.043008,0.997766,-0.004714,0.023514,0.000295
0.036084,1.016076,-0.203565,0.045771,0.997814,-0.012538,0.023618,0.000297
0.036841,1.014359,-0.201699,0.054411,0.997282,-0.015065,0.023740,0.000299
0.037560,1.014721,-0.207938,0.060588,0.996894,-0.010348,0.023867,0.000300
0.038264,1.016341,-0.187065,0.063742,0.997198,-0.002896,0.023986,0.000302
0.038938,1.017096,-0.185948,0.066218,0.997804,-0.004079,0.024089,0.000303
0.039659,1.016155,-0.196569,0.056227,0.997632,-0.013482,0.024191,0.000305
0.040398,1.014032,-0.206875,0.051847,0.997122,-0.013994,0.024306,0.000307
0.041132,1.014359,-0.213905,0.045538,0.996947,-0.008777,0.024426,0.000308
0.041844,1.015403,-0.210962,0.044440,0.997507,-0.002795,0.024537,0.000310
0.042518,1.016134,-0.209387,0.046399,0.997943,-0.009326,0.024635,0.000311
0.043258,1.015007,-0.206462,0.053028,0.997615,-0.015609,0.024744,0.000313
0.043984,1.014463,-0.204612,0.061404,0.997181,-0.011978,0.024864,0.000314
0.044666,1.015896,-0.188427,0.065323,0.997175,-0.006153,0.024980,0.000316
0.045339,1.016631,-0.192355,0.069028,0.997890,-0.001146,0.025086,0.000317
0.046054,1.017381,-0.183993,0.062296,0.998090,-0.010779,0.025182,0.000319
0.046741,1.014270,-0.203942,0.056853,0.997640,-0.015453,0.025289,0.000320
0.047469,1.015043,-0.192585,0.048362,0.997247,-0.011862,0.025405,0.000322
0.048162,1.014317,-0.208372,0.047891,0.997411,-0.005516,0.025521,0.000323
0.048838,1.016953,-0.189800,0.046938,0.998081,-0.005751,0.025621,0.000325
0.049540,1.015560,-0.209062,0.052506,0.998089,-0.013688,0.025719,0.000326
0.050270,1.014243,-0.192826,0.057119,0.997539,-0.016652,0.025836,0.000328
0.050977,1.015645,-0.179446,0.068634,0.997217,-0.009165,0.025955,0.000329
0.051663,1.016126,-0.180677,0.069953,0.997555,-0.004198,0.026066,0.000331
0.052321,1.016976,-0.183167,0.069697,0.998123,-0.005777,0.026163,0.000332
0.053040,1.016392,-0.181114,0.063241,0.997923,-0.014212,0.026261,0.000334
0.053741,1.013588,-0.201293,0.055671,0.997381,-0.015596,0.026375,0.000335
0.054474,1.014871,-0.188548,0.048538,0.997166,-0.010074,0.026494,0.000337
0.055147,1.015585,-0.195884,0.050694,0.997697,-0.004905,0.026604,0.000338
0.055850,1.016551,-0.182229,0.049547,0.998058,-0.009946,0.026702,0.000340
0.056600,1.014758,-0.195235,0.059481,0.997685,-0.016155,0.026812,0.000341
0.057312,1.014245,-0.195788,0.064987,0.997199,-0.014065,0.026934,0.000343
0.058037,1.015742,-0.176676,0.071673,0.997198,-0.006427,0.027056,0.000344
0.058723,1.017228,-0.175551,0.073207,0.997890,-0.004504,0.027163,0.000346
0.059384,1.016833,-0.175673,0.070626,0.998025,-0.011146,0.027262,0.000347
0.060133,1.013708,-0.204074,0.059503,0.997536,-0.016140,0.027377,0.000349
0.060869,1.014181,-0.198408,0.052023,0.997194,-0.011953,0.027499,0.000350
0.061549,1.014804,-0.199944,0.052512,0.997468,-0.005547,0.027623,0.000352
0.062261,1.016711,-0.184365,0.049092,0.998129,-0.006725,0.027729,0.000353
0.062959,1.015334,-0.203289,0.058455,0.998073,-0.015665,0.027839,0.000355
0.063705,1.014209,-0.189924,0.064145,0.997581,-0.015561,0.027968,0.000356
0.064426,1.015774,-0.177246,0.072626,0.997362,-0.010753,0.028097,0.000358
0.065119,1.015761,-0.184560,0.075692,0.997873,-0.002883,0.028220,0.000360
0.065752,1.017542,-0.172946,0.076749,0.998409,-0.007257,0.028326,0.000361
0.066468,1.015353,-0.186933,0.064836,0.998144,-0.015760,0.028441,0.000362
0.067195,1.014168,-0.187076,0.059072,0.997653,-0.015346,0.028573,0.000364
0.067915,1.014927,-0.182680,0.053731,0.997553,-0.009906,0.028706,0.000366
0.068637,1.015240,-0.195172,0.052375,0.998179,-0.004619,0.028827,0.000367
0.069281,1.016800,-0.181907,0.054475,0.998482,-0.012754,0.028937,0.000369
0.069990,1.014462,-0.185402,0.065011,0.998059,-0.017919,0.029065,0.000370
0.070730,1.014316,-0.185498,0.071283,0.997582,-0.014349,0.029203,0.000372
0.071425,1.016876,-0.144976,0.081016,0.997642,-0.006845,0.029333,0.000374
0.072126,1.016536,-0.173521,0.078566,0.998312,-0.005123,0.029454,0.000375
0.072822,1.016576,-0.173374,0.074838,0.998381,-0.012844,0.029566,0.000377
0.073528,1.014003,-0.179022,0.063807,0.997866,-0.017525,0.029695,0.000378
0.074239,1.014259,-0.187240,0.057662,0.997499,-0.013967,0.029830,0.000380
0.074918,1.015883,-0.159372,0.052530,0.997755,-0.006232,0.029959,0.000382
0.075556,1.015682,-0.188252,0.059192,0.998338,-0.009893,0.030075,0.000383
0.076284,1.015726,-0.179446,0.059506,0.998241,-0.015902,0.030192,0.000385
