All calculations,ESS 690V PLL Type 1 Model 3,PLL_WT1_690V_G,PLL_WT2_690V_G,PLL_WT3_690V_G,GG_01,GG_02
"b:tnow in s","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:xspeed in p.u.","s:xspeed in p.u."
0.689520,0.999012,0.999003,0.999003,0.999052,0.999192,0.999216
0.690225,0.999044,0.999072,0.999072,0.999020,0.999192,0.999217
0.690912,0.998975,0.998953,0.998953,0.998942,0.999193,0.999218
0.691638,0.999091,0.998908,0.998908,0.998954,0.999194,0.999219
0.692336,0.999051,0.999159,0.999159,0.999172,0.999194,0.999220
0.693060,0.998907,0.999027,0.999027,0.999046,0.999195,0.999220
0.693737,0.998929,0.998916,0.998916,0.998938,0.999196,0.999221
0.694469,0.998996,0.999080,0.999080,0.999066,0.999196,0.999222
0.695176,0.999030,0.999116,0.999116,0.999135,0.999197,0.999223
0.695923,0.999057,0.999068,0.999068,0.999105,0.999198,0.999224
0.696611,0.999055,0.999097,0.999097,0.999064,0.999198,0.999225
0.697286,0.998971,0.998918,0.998918,0.998913,0.999199,0.999225
0.698015,0.999093,0.998883,0.998883,0.998904,0.999200,0.999226
0.698718,0.999076,0.999159,0.999159,0.999176,0.999201,0.999227
0.699373,0.998963,0.999094,0.999094,0.999146,0.999201,0.999228
0.700108,0.998933,0.998976,0.998976,0.998975,0.999202,0.999229
0.700804,0.998954,0.999096,0.999096,0.999062,0.999203,0.999229
0.701514,0.999027,0.999044,0.999044,0.999053,0.999203,0.999230
0.702235,0.999071,0.999074,0.999074,0.999106,0.999204,0.999231
0.702880,0.999039,0.999124,0.999124,0.999138,0.999205,0.999232
0.703583,0.999056,0.998878,0.998878,0.998894,0.999205,0.999233
0.704312,0.998994,0.998992,0.998992,0.999002,0.999206,0.999233
0.705032,0.999105,0.999099,0.999099,0.999122,0.999207,0.999234
0.705730,0.999059,0.999060,0.999060,0.999118,0.999208,0.999235
0.706442,0.998897,0.999127,0.999127,0.999103,0.999208,0.999236
0.707125,0.998984,0.998990,0.998990,0.998971,0.999209,0.999237
0.707811,0.998971,0.998880,0.998880,0.998898,0.999209,0.999237
0.708533,0.999059,0.999132,0.999132,0.999162,0.999210,0.999238
0.709237,0.999088,0.999131,0.999131,0.999179,0.999211,0.999239
0.709933,0.999010,0.998993,0.998993,0.999001,0.999211,0.999240
0.710641,0.999035,0.999050,0.999050,0.999013,0.999212,0.999241
0.711336,0.999063,0.999023,0.999023,0.999012,0.999213,0.999242
0.712051,0.999095,0.998985,0.998985,0.999042,0.999213,0.999243
0.712738,0.999006,0.999176,0.999176,0.999188,0.999214,0.999243
0.713437,0.998878,0.998948,0.998948,0.998954,0.999215,0.999244
0.714130,0.999041,0.998946,0.998946,0.998955,0.999215,0.999245
0.714839,0.998985,0.999120,0.999120,0.999134,0.999216,0.999246
0.715552,0.999100,0.999158,0.999158,0.999197,0.999217,0.999247
0.716259,0.999047,0.999090,0.999090,0.999083,0.999218,0.999248
0.716941,0.999039,0.999057,0.999057,0.999043,0.999218,0.999248
0.717669,0.999042,0.998908,0.998908,0.998915,0.999219,0.999249
0.718338,0.999095,0.999037,0.999037,0.999056,0.999220,0.999250
0.719077,0.999071,0.999191,0.999191,0.999213,0.999221,0.999251
0.719756,0.998919,0.999008,0.999008,0.999065,0.999221,0.999252
0.720485,0.999012,0.998998,0.998998,0.998953,0.999222,0.999253
0.721189,0.998995,0.999149,0.999149,0.999148,0.999223,0.999253
0.721882,0.999058,0.999063,0.999063,0.999103,0.999224,0.999254
0.722637,0.999117,0.999162,0.999162,0.999166,0.999224,0.999255
0.723282,0.999021,0.999061,0.999061,0.999060,0.999225,0.999256
0.723993,0.999070,0.998867,0.998867,0.998880,0.999226,0.999257
0.724713,0.999059,0.999049,0.999049,0.999059,0.999227,0.999258
0.725363,0.999114,0.999169,0.999169,0.999210,0.999227,0.999258
0.726123,0.999016,0.999065,0.999065,0.999125,0.999228,0.999259
0.726828,0.998895,0.999117,0.999117,0.999075,0.999229,0.999260
0.727512,0.999070,0.998990,0.998990,0.998975,0.999229,0.999261
0.728223,0.998986,0.998952,0.998952,0.998992,0.999230,0.999262
0.728920,0.999109,0.999224,0.999224,0.999244,0.999231,0.999263
0.729566,0.999092,0.999053,0.999053,0.999115,0.999231,0.999263
0.730292,0.999000,0.998988,0.998988,0.998961,0.999232,0.999264
0.730997,0.999111,0.999128,0.999128,0.999113,0.999233,0.999265
0.731724,0.999083,0.998992,0.998992,0.999012,0.999233,0.999266
0.732455,0.999079,0.999108,0.999108,0.999140,0.999234,0.999267
0.733120,0.998968,0.999141,0.999141,0.999147,0.999235,0.999268
0.733841,0.998935,0.998896,0.998896,0.998895,0.999236,0.999269
0.734530,0.999059,0.999025,0.999025,0.999046,0.999236,0.999269
0.735269,0.999068,0.999186,0.999186,0.999202,0.999237,0.999270
0.735960,0.999111,0.999129,0.999129,0.999201,0.999238,0.999271
0.736659,0.999044,0.999079,0.999079,0.999023,0.999239,0.999272
0.737394,0.999075,0.999084,0.999084,0.999068,0.999239,0.999273
0.738085,0.999112,0.999014,0.999014,0.999022,0.999240,0.999274
0.738845,0.999122,0.999096,0.999096,0.999128,0.999241,0.999275
0.739520,0.999031,0.999207,0.999207,0.999223,0.999242,0.999275
0.740180,0.998907,0.998936,0.998936,0.998950,0.999243,0.999276
0.740912,0.999089,0.999025,0.999025,0.999023,0.999243,0.999277
0.741575,0.999033,0.999255,0.999255,0.999248,0.999244,0.999278
0.742264,0.999116,0.999093,0.999093,0.999152,0.999245,0.999279
0.743018,0.999120,0.999183,0.999183,0.999171,0.999246,0.999280
0.743693,0.999001,0.999019,0.999019,0.999010,0.999247,0.999281
0.744404,0.999138,0.998920,0.998920,0.998927,0.999247,0.999281
0.745122,0.999103,0.999121,0.999121,0.999155,0.999248,0.999282
0.745818,0.999081,0.999182,0.999182,0.999227,0.999249,0.999283
0.746534,0.998980,0.999052,0.999052,0.999074,0.999250,0.999284
0.747241,0.998960,0.999107,0.999107,0.999063,0.999250,0.999285
0.747934,0.999052,0.999112,0.999112,0.999102,0.999251,0.999286
0.748653,0.999095,0.999063,0.999063,0.999129,0.999252,0.999287
0.749361,0.999126,0.999209,0.999209,0.999212,0.999253,0.999287
0.750040,0.999083,0.999018,0.999018,0.999017,0.999253,0.999288
0.750733,0.999056,0.998925,0.998925,0.998949,0.999254,0.999289
0.751460,0.999122,0.999102,0.999102,0.999110,0.999255,0.999290
0.752150,0.999133,0.999174,0.999174,0.999208,0.999255,0.999291
0.752863,0.999020,0.999136,0.999136,0.999143,0.999256,0.999292
0.753532,0.998964,0.999113,0.999113,0.999107,0.999257,0.999292
0.754259,0.999044,0.998923,0.998923,0.998924,0.999258,0.999293
0.754931,0.999051,0.999091,0.999091,0.999121,0.999258,0.999294
0.755665,0.999150,0.999253,0.999253,0.999278,0.999259,0.999295
0.756339,0.999091,0.999065,0.999065,0.999123,0.999260,0.999296
0.757059,0.999064,0.999095,0.999095,0.999037,0.999261,0.999297
0.757740,0.999102,0.999121,0.999121,0.999107,0.999262,0.999298
0.758483,0.999138,0.999042,0.999042,0.999076,0.999263,0.999298
0.759239,0.999082,0.999181,0.999181,0.999199,0.999263,0.999299
0.759881,0.999011,0.999130,0.999130,0.999140,0.999264,0.999300
0.760585,0.998987,0.998916,0.998916,0.998930,0.999265,0.999301
0.761286,0.999114,0.999190,0.999190,0.999194,0.999266,0.999302
